Year,CPI Average
1913,9.883333333
1914,10.01666667
1915,10.10833333
1916,10.88333333
1917,12.825
1918,15.04166667
1919,17.33333333
1920,20.04166667
1921,17.85
1922,16.75
1923,17.05
1924,17.125
1925,17.54166667
1926,17.7
1927,17.35833333
1928,17.15833333
1929,17.15833333
1930,16.7
1931,15.20833333
1932,13.64166667
1933,12.93333333
1934,13.38333333
1935,13.725
1936,13.86666667
1937,14.38333333
1938,14.09166667
1939,13.90833333
1940,14.00833333
1941,14.725
1942,16.33333333
1943,17.30833333
1944,17.59166667
1945,17.99166667
1946,19.51666667
1947,22.325
1948,24.04166667
1949,23.80833333
1950,24.06666667
1951,25.95833333
1952,26.55
1953,26.76666667
1954,26.85
1955,26.775
1956,27.18333333
1957,28.09166667
1958,28.85833333
1959,29.15
1960,29.575
1961,29.89166667
1962,30.25
1963,30.625
1964,31.01666667
1965,31.50833333
1966,32.45833333
1967,33.35833333
1968,34.78333333
1969,36.68333333
1970,38.825
1971,40.49166667
1972,41.81666667
1973,44.4
1974,49.30833333
1975,53.81666667
1976,56.90833333
1977,60.60833333
1978,65.23333333
1979,72.575
1980,82.40833333
1981,90.925
1982,96.5
1983,99.6
1984,103.8833333
1985,107.5666667
1986,109.6083333
1987,113.625
1988,118.2583333
1989,123.9666667
1990,130.6583333
1991,136.1916667
1992,140.3166667
1993,144.4583333
1994,148.225
1995,152.3833333
1996,156.85
1997,160.5166667
1998,163.0083333
1999,166.575
2000,172.2
2001,177.0666667
2002,179.875
2003,183.9583333
2004,188.8833333
2005,195.2916667
2006,201.5916667
2007,207.3424167
2008,215.3025
2009,214.537
2010,218.0555
2011,224.9391667
2012,229.5939167
2013,232.9570833
2014,236.7361667
2015,237.017
2016,240.0071667
2017,245.1195833
2018,250.363
